02.09.2026                                                                                                                                                                Dynamic List Display                                                                                                                                                                                                                         1

Table: T059P

	MANDT	LAND1	WITHT	WT_TPNR	WT_ACCPT	WT_ACCALL	WT_ACCTMAX	WT_WTRD	WT_CEINV	WT_BASE	WT_DOPOST	WT_POSTM	WT_ALWT	WT_WTDSC	WT_SLFWT	WT_WTDP	WT_MANUAL	WT_MAINTB	WT_MAINTA	WT_REDBAS	WT_WTINV	REGIO	TDFORM	WT_BCPLVL	WT_CTNBRL	WT_MANBAS	KSCHL	J_1BSUMVAL	J_1BTEXKEY	WT_KURST	WT_INHERITBASE	WT_NOREDUCTION	J_1AFORMAT	KSCHL_TX	J_1BWHTBASE_NF	ALL_TAX_CODES	J_DAILY_ACC	TEXT40
	500	IN	9R	    152	0			00	1	2	X	2		X		    000		2	2			06		0	X	X				TTB								GST TDS NOT APPLICABLE (ADV)
	500	IN	9S	    157	0			01		2	X	1				    000		2	2						X	X				TTB								193-INV-Other than Company
	500	IN	9T	    158	0			01		2	X	1				    000		2	2						X	X				TTB								193-INV-Company
	500	IN	A1	    009	0			00		2	X	1				    000		2	2						X	X												194A-Inv-Other Interest(Corp)
	500	IN	A2	    010	0			00		2	X	1				    000		2	2						X	X												194A-Inv-Other Interest(Non-Corp)
	500	IN	AA	    001	0			00	1	2	X	2		X		    000		2	2					0	X	X												194A-Adv-Other Interest(Corp)
	500	IN	AB	    002	0			00	1	2	X	2		X		    000		2	2					0	X	X												194A-Adv-Other Interest(Non-Corp)
	500	IN	AC	    074	0			00	1	2	X	2				    007		2	2					0	X	X					X							194C-Adv-Contractors(Corp)-EDU CESS
	500	IN	AD	    080	0			00	1	2	X	2				    032		2	2					0	X	X					X							195-Adv-Non Res(Corp)-Sec 44D-EDU CESS
	500	IN	AG	    050	0			00		1	X	1				    000	X	2	2						X	X												IN:TDS GST INTRA STATE FOR TESTING
	500	IN	AH	    082	0			00	1	2	X	2				    034		2	2					0	X	X					X							194H-Adv-Commn / Broker (Corp)-EDU CESS
	500	IN	AI	    084	0			00	1	2	X	2				    036		2	2					0	X	X					X							194I-Adv-Rent(Corp)- EDU CESS
	500	IN	AJ	    086	0			00	1	2	X	2				    038		2	2					0	X	X					X							194J-Adv-Professionals(Corp) - EDU CESS
	500	IN	B1	    012	0			00		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Corp)-Sec 44BB
	500	IN	B2	    013	0			00		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Non-Corp)-Sec 44BB
	500	IN	BA	    003	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Residents(Corp)-Sec 44BB
	500	IN	BB	    004	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Resident(Non-Corp)-Sec 44 BB
	500	IN	BC	    075	0			00	1	2	X	2				    005		2	2					0	X	X					X							194C-Adv-Sub-Contractors(Corp)-EDU CESS
	500	IN	BD	    081	0			00	1	2	X	2				    033		2	2					0	X	X				TTB	X							195-Adv-Non Res(Non-Corp)-Sec 44D-EDU CE
	500	IN	BE	    054	0			00	1	2	X	2				    002		2	2					0	X	X					X							194A-Adv-Other Int(Non-Corp)-EDU CESS
	500	IN	BH	    083	0			00	1	2	X	2				    035		2	2					0	X	X					X							194H-Adv-Commn / Broker (N-Corp)-EDU CES
	500	IN	BI	    085	0			00	1	2	X	2				    037		2	2					0	X	X					X							194I-Adv-Rent(Non-Corp)- EDU CESS
	500	IN	BJ	    087	0			00	1	2	X	2				    039		2	2					0	X	X					X							194J-Adv-Profes(Non-Corp) - EDU CESS
	500	IN	C1	    006	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Contractors(Corp)
	500	IN	C2	    014	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Sub Contractors(Corp)
	500	IN	C3	    015	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Advtg Contractors(Corp)
	500	IN	C6	    016	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Contractors(Non-Corp)
	500	IN	C7	    017	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Sub Contractors(Non-Corp)
	500	IN	C8	    018	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Advtg Contractors(Non-Corp)
	500	IN	CA	    007	0			00	1	2	X	2		X		    000		2	2					0	X	X												194C-Adv-Contractors(Corp)
	500	IN	CB	    005	0			00	1	2	X	2		X		    000		2	2					0	X	X												194C-Adv-Sub-Contractors(Corp)
	500	IN	CF	    029	0			00	1	2	X	2		X		    000		2	2					0	X	X												194C-Adv-Contractors(Non-Corp)
	500	IN	CG	    030	0			00		1	X	1		X		    000		2	2					0	X	X												IN:TDS ON  CGST (INV)
	500	IN	CH	    031	0			00	1	2	X	2		X		    000		2	2					0	X	X												194C-Adv-Advtg Contract(Non-Corp)
